,Table 5. Gender Inequality Index,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,SDG3.1,,SDG3.7,,SDG5.5,,SDG4.4,,,,,,,
,,Gender Inequality Index,,,,Maternal mortality ratio,,Adolescent birth rate,,Share of seats in parliament,,Population with at least some secondary education,,,,Labour force participation rate ,,,a
,,Value,,Rank,,"(deaths per 100,000 live births)",,"(births per 1,000 women ages 15–19)",,(% held by women),,(% ages 25 and older),,,,(% ages 15 and older),,,
HDI rank,Country,,,,,,,,,,,Female,,Male,,Female,,Male,
,,2023,,2023,,2020,,2023,,2023,,2023,b,2023,b,2023,,2023,
,Very high human development,,,,,,,,,,,,,,,,,,
1,Iceland,0.024,,7,,3,,3.4,,47.6,,99.9,,99.6,,70.5,,79.3,
2,Norway,0.004,,2,,2,,1.4,,46.2,,95.9,,98.5,,62.1,,69.2,
2,Switzerland,0.010,,4,,7,,1.5,,37.8,,98.0,,98.3,,62.6,,72.9,
4,Denmark,0.003,,1,,5,,1.1,,43.6,,91.0,,92.5,,59.7,,67.7,
5,Germany,0.057,,21,,4,,5.5,,35.3,,93.6,,94.3,,56.4,,66.7,
5,Sweden,0.007,,3,,5,,1.8,,46.4,,94.9,,94.1,,64.4,,70.6,
7,Australia,0.056,,20,,3,,6.7,,44.5,,92.3,,93.5,,62.8,,71.7,
8,"Hong Kong, China (SAR)",..,,..,,..,,1.1,,..,,77.9,,84.1,,52.2,,63.6,
8,Netherlands,0.013,,5,,4,,1.9,,39.1,,91.1,,92.7,,64.1,,73.1,
10,Belgium,0.031,,8,,5,,3.7,,43.5,,88.3,,91.0,,50.7,,59.5,
11,Ireland,0.054,,19,,5,,4.1,,27.4,,90.4,,89.9,,60.4,,70.8,
12,Finland,0.021,,6,,8,,3.1,,46.0,,91.6,,91.6,,58.5,,63.8,
13,Singapore,0.031,,8,,7,,2.2,,29.1,,82.9,,87.8,,62.6,,74.9,
13,United Kingdom,0.083,,31,,10,,8.4,,31.5,,99.1,,99.0,,58.1,,66.6,
15,United Arab Emirates,0.040,,13,,9,,3.1,,50.0,,83.4,,87.0,,54.5,,90.8,
